"Nome da campanha","Nome do conjunto de anúncios","Nome da conta","Nome do anúncio",Dia,Plataforma,Posicionamento,"Plataforma do dispositivo","Veiculação do anúncio",Alcance,Impressões,"Cliques (todos)",Moeda,"CPC (todos)","Valor usado (BRL)",Início,Término,Frequência,Compras,"Custo por compra","Valor de conversão da compra","Cliques no link","CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","CTR (todos)",Visualizações,"Configuração de atribuição","Taxa de compras por visualizações da página de destino","Taxa de compras por cliques no link","Taxa de visualizações da página de destino por cliques no link","Custo por 1.000 contas da Central de Contas alcançadas","Veiculação do conjunto de anúncios","Veiculação da campanha","CTR (taxa de cliques no link)","Adições ao carrinho","Orçamento da campanha","Tipo de orçamento da campanha","Nome da campanha","URL do site","Início dos relatórios","Término dos relatórios"
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,threads,"Feed do Threads",mobile_app,active,2,2,1,BRL,0.04,0.04,2025-12-28,Contínuo,1,,,,1,0.04,20,50,2,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,20,active,active,50,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,"Facebook Reels",mobile_app,active,37,48,4,BRL,0.3125,1.25,2025-12-28,Contínuo,1.2972973,,,,3,0.41666667,26.04166667,8.33333333,48,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,33.78378378,active,active,6.25,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,instagram,"Instagram Stories",mobile_app,active,28,33,2,BRL,0.56,1.12,2025-12-28,Contínuo,1.17857143,,,,2,0.56,33.93939394,6.06060606,33,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,40,active,active,6.06060606,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,Feed,mobile_web,active,6,9,1,BRL,0.06,0.06,2025-12-28,Contínuo,1.5,,,,1,0.06,6.66666667,11.11111111,9,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,10,active,active,11.11111111,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,instagram,"Instagram Reels",mobile_app,active,23,24,1,BRL,0.87,0.87,2025-12-28,Contínuo,1.04347826,,,,1,0.87,36.25,4.16666667,24,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,37.82608696,active,active,4.16666667,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,facebook,Feed,mobile_app,active,561,616,28,BRL,0.375,10.5,2025-12-28,Contínuo,1.09803922,,,,22,0.47727273,17.04545455,4.54545455,621,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,18.71657754,active,active,3.57142857,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-19,instagram,Feed,mobile_app,active,992,1083,36,BRL,0.80555556,29,2025-12-28,Contínuo,1.09173387,,,,33,0.87878788,26.77746999,3.32409972,1085,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,29.23387097,active,active,3.04709141,3,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-19,2026-03-19
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-18,instagram,"Página inicial do Explorar",mobile_app,active,4,4,0,BRL,,0.06,2025-12-28,Contínuo,1,,,,,,15,0,8,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,15,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","AD | CAT | FLORAL",2026-03-18,instagram,"Instagram Stories",mobile_app,active,2,2,0,BRL,,0.04,2025-12-28,Contínuo,1,,,,,,20,0,2,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,20,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/collections/colecao-floral,2026-03-18,2026-03-18
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","AD | CAT | FLORAL",2026-03-18,instagram,Feed,mobile_app,active,1,1,0,BRL,,0.02,2025-12-28,Contínuo,1,,,,,,20,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,20,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/collections/colecao-floral,2026-03-18,2026-03-18
